上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录
TJO,NFM,2018/1/21,19:45:00,I,NV848,2018/1/21,15:30:00,I,NV657,Center,N,S12,S,33E,PK570
GDP,TZE,2018/1/21,20:20:00,I,NV672,2018/1/21,14:50:00,I,NV899,Center,N,S12,S,33E,PK557
DEH,KGL,2018/1/21,20:00:00,I,NV308,2018/1/21,14:35:00,I,NV681,Center,N,S12,S,773,PK551
CLL,IOM,2018/1/20,17:20:00,I,NV682,2018/1/20,7:20:00,I,NV659,Center,N,S12,S,33L,PK471
DEH,DEH,2018/1/20,12:25:00,I,NV670,2018/1/20,7:00:00,I,NV665,Center,N,S12,S,773,PK468
BNT,IOE,2018/1/20,13:00:00,I,NV640,2018/1/20,6:55:00,I,NV883,Center,N,S12,S,33H,PK466
MBY,ZZA,2018/1/20,12:05:00,I,NV318,2018/1/20,6:25:00,I,NV689,Center,N,S12,S,773,PK464
DHL,TJO,2018/1/20,14:35:00,I,NV676,2018/1/20,6:25:00,I,NV6181,Center,N,S12,S,332,PK463
NFM,PSE,2018/1/20,11:40:00,I,NV828,2018/1/20,5:55:00,I,NV851,Center,N,S12,S,773,PK461
DNC,UQF,2018/1/20,12:15:00,I,NV6118,2018/1/20,5:55:00,I,NV343,Center,N,S12,S,33E,PK460
BLM,BLM,2018/1/21,0:55:00,I,NV880,2018/1/20,5:45:00,I,NV891,Center,N,S12,S,773,PK458
TJO,UQF,2018/1/21,12:10:00,I,NV6118,2018/1/20,5:40:00,I,NV655,Center,N,S12,S,332,PK457
NMF,NMF,2018/1/20,12:10:00,I,NV346,2018/1/20,5:35:00,I,NV347,Center,N,S12,S,33L,PK456
KGL,OSU,2018/1/20,9:10:00,I,NV634,2018/1/20,5:15:00,I,NV309,Center,N,S12,S,773,PK454
TZE,MBY,2018/1/20,13:20:00,I,NV694,2018/1/20,5:00:00,I,NV847,Center,N,S12,S,773,PK453
TJO,DUT,2018/1/20,7:55:00,I,NV380,2018/1/20,4:10:00,I,NV677,Center,N,S12,S,33L,PK449
TJO,TJO,2018/1/21,9:20:00,I,NV678,2018/1/20,21:30:00,I,NV679,Center,N,S12,S,33E,PK411
IOE,DEH,2018/1/21,12:25:00,I,NV670,2018/1/20,21:05:00,I,NV651,Center,N,S12,S,33H,PK400
COF,COF,2018/1/20,21:55:00,I,NV826,2018/1/20,20:00:00,I,NV827,Center,N,S12,S,33E,PK382
NFM,TJO,2018/1/20,23:30:00,I,NV654,2018/1/20,19:40:00,I,NV849,Center,N,S12,S,33E,PK377
TZE,GSB,2018/1/21,0:10:00,I,NV320,2018/1/20,19:30:00,I,NV673,Center,N,S12,S,33E,PK373
ZZA,TZE,2018/1/21,0:05:00,I,NV846,2018/1/20,19:20:00,I,NV319,Center,N,S12,S,773,PK370
PSE,DEH,2018/1/21,0:05:00,I,NV664,2018/1/20,18:50:00,I,NV829,Center,N,S12,S,773,PK363
TGP,NFM,2018/1/21,0:20:00,I,NV840,2018/1/20,18:00:00,I,NV601,Center,N,S12,S,773,PK349
MBY,MBY,2018/1/20,21:00:00,I,NV688,2018/1/20,17:50:00,I,NV697,Center,N,S12,S,773,PK347
UQF,GDP,2018/1/21,12:30:00,I,NV898,2018/1/20,17:10:00,I,NV6119,Center,N,S12,S,33E,PK340
ZWS,BNT,2018/1/21,0:15:00,I,NV882,2018/1/20,16:55:00,I,NV693,Center,N,S12,S,33H,PK338
DUT,DNC,2018/1/21,13:40:00,I,NV342,2018/1/20,16:55:00,I,NV391,Center,N,S12,S,33L,PK336
OSU,KGL,2018/1/20,20:00:00,I,NV308,2018/1/20,16:35:00,I,NV635,Center,N,S12,S,773,PK333
IOM,DUT,2018/1/21,7:55:00,I,NV380,2018/1/20,16:20:00,I,NV683,Center,N,S12,S,33L,PK328
TJO,NFM,2018/1/20,19:45:00,I,NV848,2018/1/20,15:30:00,I,NV657,Center,N,S12,S,33E,PK316
GDP,TZE,2018/1/20,20:20:00,I,NV672,2018/1/20,15:00:00,I,NV899,Center,N,S12,S,33E,PK308
DEH,TJO,2018/1/20,16:10:00,I,NV656,2018/1/20,14:50:00,I,NV681,Center,N,S12,S,33H,PK304
GSB,IOE,2018/1/19,13:00:00,I,NV640,2018/1/19,7:40:00,I,NV331,Center,N,S12,S,33E,PK224
CLL,TJO,2018/1/19,14:35:00,I,NV676,2018/1/19,7:20:00,I,NV659,Center,N,S12,S,33L,PK223
MBY,ZZA,2018/1/19,12:05:00,I,NV318,2018/1/19,6:25:00,I,NV689,Center,N,S12,S,773,PK217
NFM,PSE,2018/1/19,11:40:00,I,NV828,2018/1/19,5:55:00,I,NV851,Center,N,S12,S,773,PK215
BLM,MBY,2018/1/19,13:20:00,I,NV694,2018/1/19,5:45:00,I,NV891,Center,N,S12,S,773,PK213
KGL,OSU,2018/1/19,9:10:00,I,NV634,2018/1/19,5:15:00,I,NV309,Center,N,S12,S,773,PK210
ZWS,ZWS,2018/1/19,13:30:00,I,NV692,2018/1/19,5:10:00,I,NV609,Center,N,S12,S,33H,PK209
TZE,TGP,2018/1/20,14:20:00,I,NV690,2018/1/19,5:00:00,I,NV847,Center,N,S12,S,773,PK208
TJO,DHL,2018/1/19,17:10:00,I,NV6170,2018/1/19,4:10:00,I,NV677,Center,N,S12,S,332,PK205
IOE,GDP,2018/1/20,12:30:00,I,NV898,2018/1/19,21:05:00,I,NV651,Center,N,S12,S,33E,PK159
COF,COF,2018/1/19,21:55:00,I,NV826,2018/1/19,20:00:00,I,NV827,Center,N,S12,S,33E,PK140
NFM,TJO,2018/1/19,23:30:00,I,NV654,2018/1/19,19:40:00,I,NV849,Center,N,S12,S,33E,PK135
TZE,GSB,2018/1/20,0:10:00,I,NV320,2018/1/19,19:30:00,I,NV673,Center,N,S12,S,33E,PK131
ZZA,TZE,2018/1/20,0:05:00,I,NV846,2018/1/19,19:20:00,I,NV319,Center,N,S12,S,773,PK129
NBE,ZWS,2018/1/20,0:20:00,I,NV608,2018/1/19,18:05:00,I,NV821,Center,N,S12,S,33H,PK108
TGP,DEH,2018/1/20,0:05:00,I,NV664,2018/1/19,18:00:00,I,NV601,Center,N,S12,S,773,PK107
MBY,NFM,2018/1/20,0:20:00,I,NV840,2018/1/19,17:50:00,I,NV697,Center,N,S12,S,773,PK104
ZWS,MIS,2018/1/20,13:00:00,I,NV662,2018/1/19,16:55:00,I,NV693,Center,N,S12,S,33H,PK094
DUT,CLL,2018/1/19,20:40:00,I,NV658,2018/1/19,16:55:00,I,NV391,Center,N,S12,S,33L,PK093
OSU,MBY,2018/1/19,21:00:00,I,NV688,2018/1/19,16:35:00,I,NV635,Center,N,S12,S,773,PK091
MIS,ZWS,2018/1/20,13:30:00,I,NV692,2018/1/19,16:30:00,I,NV663,Center,N,S12,S,33H,PK089
IOM,IOM,2018/1/19,17:20:00,I,NV682,2018/1/19,16:20:00,I,NV683,Center,N,S12,S,33L,PK086
TJO,NFM,2018/1/19,19:45:00,I,NV848,2018/1/19,15:30:00,I,NV657,Center,N,S12,S,33E,PK071
GDP,TZE,2018/1/19,20:20:00,I,NV672,2018/1/19,15:00:00,I,NV899,Center,N,S12,S,33E,PK064
DEH,KGL,2018/1/19,20:00:00,I,NV308,2018/1/19,14:50:00,I,NV681,Center,N,S12,S,773,PK059
GSB,TJO,2018/1/21,14:35:00,I,NV676,2018/1/21,7:40:00,I,NV331,Center,N,S13,S,33E,PK728
CLL,NMF,2018/1/21,12:10:00,I,NV346,2018/1/21,7:20:00,I,NV659,Center,N,S13,S,33L,PK727
DEH,IOE,2018/1/21,13:00:00,I,NV640,2018/1/21,7:00:00,I,NV665,Center,N,S13,S,773,PK724
MBY,ZZA,2018/1/21,12:05:00,I,NV318,2018/1/21,6:25:00,I,NV689,Center,N,S13,S,773,PK720
NFM,PSE,2018/1/21,11:40:00,I,NV828,2018/1/21,5:55:00,I,NV851,Center,N,S13,S,773,PK718
BLM,MBY,2018/1/21,13:20:00,I,NV694,2018/1/21,5:45:00,I,NV891,Center,N,S13,S,773,PK716
NMF,TWP,2018/1/21,12:00:00,I,NV602,2018/1/21,5:35:00,I,NV347,Center,N,S13,S,33L,PK714
KGL,OSU,2018/1/21,9:10:00,I,NV634,2018/1/21,5:15:00,I,NV309,Center,N,S13,S,773,PK712
TZE,TGP,2018/1/21,14:20:00,I,NV690,2018/1/21,5:00:00,I,NV847,Center,N,S13,S,773,PK710
TJO,DHL,2018/1/21,17:10:00,I,NV6170,2018/1/21,4:10:00,I,NV677,Center,N,S13,S,332,PK706
COF,COF,2018/1/21,21:55:00,I,NV826,2018/1/21,20:00:00,I,NV827,Center,N,S13,S,33E,PK640
NFM,TJO,2018/1/21,23:30:00,I,NV654,2018/1/21,19:40:00,I,NV849,Center,N,S13,S,33E,PK634
DUT,CLL,2018/1/21,20:40:00,I,NV658,2018/1/21,16:55:00,I,NV391,Center,N,S13,S,33L,PK593
OSU,MBY,2018/1/21,21:00:00,I,NV688,2018/1/21,16:35:00,I,NV635,Center,N,S13,S,773,PK591
IOM,IOM,2018/1/21,17:20:00,I,NV682,2018/1/21,16:20:00,I,NV683,Center,N,S13,S,33L,PK586
TJO,NFM,2018/1/21,19:45:00,I,NV848,2018/1/21,15:30:00,I,NV657,Center,N,S13,S,33E,PK570
GDP,TZE,2018/1/21,20:20:00,I,NV672,2018/1/21,14:50:00,I,NV899,Center,N,S13,S,33E,PK557
DEH,KGL,2018/1/21,20:00:00,I,NV308,2018/1/21,14:35:00,I,NV681,Center,N,S13,S,773,PK551
CLL,IOM,2018/1/20,17:20:00,I,NV682,2018/1/20,7:20:00,I,NV659,Center,N,S13,S,33L,PK471
DEH,DEH,2018/1/20,12:25:00,I,NV670,2018/1/20,7:00:00,I,NV665,Center,N,S13,S,773,PK468
BNT,IOE,2018/1/20,13:00:00,I,NV640,2018/1/20,6:55:00,I,NV883,Center,N,S13,S,33H,PK466
MBY,ZZA,2018/1/20,12:05:00,I,NV318,2018/1/20,6:25:00,I,NV689,Center,N,S13,S,773,PK464
DHL,TJO,2018/1/20,14:35:00,I,NV676,2018/1/20,6:25:00,I,NV6181,Center,N,S13,S,332,PK463
NFM,PSE,2018/1/20,11:40:00,I,NV828,2018/1/20,5:55:00,I,NV851,Center,N,S13,S,773,PK461
DNC,UQF,2018/1/20,12:15:00,I,NV6118,2018/1/20,5:55:00,I,NV343,Center,N,S13,S,33E,PK460
BLM,BLM,2018/1/21,0:55:00,I,NV880,2018/1/20,5:45:00,I,NV891,Center,N,S13,S,773,PK458
TJO,UQF,2018/1/21,12:10:00,I,NV6118,2018/1/20,5:40:00,I,NV655,Center,N,S13,S,332,PK457
NMF,NMF,2018/1/20,12:10:00,I,NV346,2018/1/20,5:35:00,I,NV347,Center,N,S13,S,33L,PK456
KGL,OSU,2018/1/20,9:10:00,I,NV634,2018/1/20,5:15:00,I,NV309,Center,N,S13,S,773,PK454
TZE,MBY,2018/1/20,13:20:00,I,NV694,2018/1/20,5:00:00,I,NV847,Center,N,S13,S,773,PK453
TJO,DUT,2018/1/20,7:55:00,I,NV380,2018/1/20,4:10:00,I,NV677,Center,N,S13,S,33L,PK449
TJO,TJO,2018/1/21,9:20:00,I,NV678,2018/1/20,21:30:00,I,NV679,Center,N,S13,S,33E,PK411
IOE,DEH,2018/1/21,12:25:00,I,NV670,2018/1/20,21:05:00,I,NV651,Center,N,S13,S,33H,PK400
COF,COF,2018/1/20,21:55:00,I,NV826,2018/1/20,20:00:00,I,NV827,Center,N,S13,S,33E,PK382
NFM,TJO,2018/1/20,23:30:00,I,NV654,2018/1/20,19:40:00,I,NV849,Center,N,S13,S,33E,PK377
TZE,GSB,2018/1/21,0:10:00,I,NV320,2018/1/20,19:30:00,I,NV673,Center,N,S13,S,33E,PK373
ZZA,TZE,2018/1/21,0:05:00,I,NV846,2018/1/20,19:20:00,I,NV319,Center,N,S13,S,773,PK370
PSE,DEH,2018/1/21,0:05:00,I,NV664,2018/1/20,18:50:00,I,NV829,Center,N,S13,S,773,PK363
TGP,NFM,2018/1/21,0:20:00,I,NV840,2018/1/20,18:00:00,I,NV601,Center,N,S13,S,773,PK349
MBY,MBY,2018/1/20,21:00:00,I,NV688,2018/1/20,17:50:00,I,NV697,Center,N,S13,S,773,PK347
UQF,GDP,2018/1/21,12:30:00,I,NV898,2018/1/20,17:10:00,I,NV6119,Center,N,S13,S,33E,PK340
ZWS,BNT,2018/1/21,0:15:00,I,NV882,2018/1/20,16:55:00,I,NV693,Center,N,S13,S,33H,PK338
DUT,DNC,2018/1/21,13:40:00,I,NV342,2018/1/20,16:55:00,I,NV391,Center,N,S13,S,33L,PK336
OSU,KGL,2018/1/20,20:00:00,I,NV308,2018/1/20,16:35:00,I,NV635,Center,N,S13,S,773,PK333
IOM,DUT,2018/1/21,7:55:00,I,NV380,2018/1/20,16:20:00,I,NV683,Center,N,S13,S,33L,PK328
TJO,NFM,2018/1/20,19:45:00,I,NV848,2018/1/20,15:30:00,I,NV657,Center,N,S13,S,33E,PK316
GDP,TZE,2018/1/20,20:20:00,I,NV672,2018/1/20,15:00:00,I,NV899,Center,N,S13,S,33E,PK308
DEH,TJO,2018/1/20,16:10:00,I,NV656,2018/1/20,14:50:00,I,NV681,Center,N,S13,S,33H,PK304
GSB,IOE,2018/1/19,13:00:00,I,NV640,2018/1/19,7:40:00,I,NV331,Center,N,S13,S,33E,PK224
CLL,TJO,2018/1/19,14:35:00,I,NV676,2018/1/19,7:20:00,I,NV659,Center,N,S13,S,33L,PK223
MBY,ZZA,2018/1/19,12:05:00,I,NV318,2018/1/19,6:25:00,I,NV689,Center,N,S13,S,773,PK217
NFM,PSE,2018/1/19,11:40:00,I,NV828,2018/1/19,5:55:00,I,NV851,Center,N,S13,S,773,PK215
BLM,MBY,2018/1/19,13:20:00,I,NV694,2018/1/19,5:45:00,I,NV891,Center,N,S13,S,773,PK213
KGL,OSU,2018/1/19,9:10:00,I,NV634,2018/1/19,5:15:00,I,NV309,Center,N,S13,S,773,PK210
ZWS,ZWS,2018/1/19,13:30:00,I,NV692,2018/1/19,5:10:00,I,NV609,Center,N,S13,S,33H,PK209
TZE,TGP,2018/1/20,14:20:00,I,NV690,2018/1/19,5:00:00,I,NV847,Center,N,S13,S,773,PK208
TJO,DHL,2018/1/19,17:10:00,I,NV6170,2018/1/19,4:10:00,I,NV677,Center,N,S13,S,332,PK205
IOE,GDP,2018/1/20,12:30:00,I,NV898,2018/1/19,21:05:00,I,NV651,Center,N,S13,S,33E,PK159
COF,COF,2018/1/19,21:55:00,I,NV826,2018/1/19,20:00:00,I,NV827,Center,N,S13,S,33E,PK140
NFM,TJO,2018/1/19,23:30:00,I,NV654,2018/1/19,19:40:00,I,NV849,Center,N,S13,S,33E,PK135
TZE,GSB,2018/1/20,0:10:00,I,NV320,2018/1/19,19:30:00,I,NV673,Center,N,S13,S,33E,PK131
ZZA,TZE,2018/1/20,0:05:00,I,NV846,2018/1/19,19:20:00,I,NV319,Center,N,S13,S,773,PK129
NBE,ZWS,2018/1/20,0:20:00,I,NV608,2018/1/19,18:05:00,I,NV821,Center,N,S13,S,33H,PK108
TGP,DEH,2018/1/20,0:05:00,I,NV664,2018/1/19,18:00:00,I,NV601,Center,N,S13,S,773,PK107
MBY,NFM,2018/1/20,0:20:00,I,NV840,2018/1/19,17:50:00,I,NV697,Center,N,S13,S,773,PK104
ZWS,MIS,2018/1/20,13:00:00,I,NV662,2018/1/19,16:55:00,I,NV693,Center,N,S13,S,33H,PK094
DUT,CLL,2018/1/19,20:40:00,I,NV658,2018/1/19,16:55:00,I,NV391,Center,N,S13,S,33L,PK093
OSU,MBY,2018/1/19,21:00:00,I,NV688,2018/1/19,16:35:00,I,NV635,Center,N,S13,S,773,PK091
MIS,ZWS,2018/1/20,13:30:00,I,NV692,2018/1/19,16:30:00,I,NV663,Center,N,S13,S,33H,PK089
IOM,IOM,2018/1/19,17:20:00,I,NV682,2018/1/19,16:20:00,I,NV683,Center,N,S13,S,33L,PK086
TJO,NFM,2018/1/19,19:45:00,I,NV848,2018/1/19,15:30:00,I,NV657,Center,N,S13,S,33E,PK071
GDP,TZE,2018/1/19,20:20:00,I,NV672,2018/1/19,15:00:00,I,NV899,Center,N,S13,S,33E,PK064
DEH,KGL,2018/1/19,20:00:00,I,NV308,2018/1/19,14:50:00,I,NV681,Center,N,S13,S,773,PK059
DTY,EMD,2018/1/21,11:05:00,D,NV6752,2018/1/21,9:50:00,D,NV6479,South,W,S29,S,319,PK751
DBO,SJA,2018/1/21,12:00:00,D,GN0236,2018/1/21,9:50:00,D,GN0413,South,W,S29,S,738,PK750
DLH,DLH,2018/1/21,11:05:00,D,NV6536,2018/1/21,9:40:00,D,NV6533,South,W,S29,S,320,PK748
LXF,KOH,2018/1/21,11:00:00,D,GN0284,2018/1/21,9:40:00,D,GN0571,South,W,S29,S,73A,PK747
ZOU,UBP,2018/1/21,11:15:00,D,NV6622,2018/1/21,9:35:00,D,NV6655,South,W,S29,S,320,PK746
UZO,UZO,2018/1/21,10:45:00,D,NV3512,2018/1/21,9:35:00,D,NV3513,South,W,S29,S,73H,PK745
DHP,TIF,2018/1/21,11:05:00,D,GN0298,2018/1/21,9:30:00,D,GN0439,South,W,S29,S,738,PK744
EMD,GPD,2018/1/21,11:05:00,D,NV6773,2018/1/21,9:25:00,D,NV6773,South,W,S29,S,325,PK743
YNO,IOZ,2018/1/21,11:10:00,D,GN0530,2018/1/21,9:20:00,D,GN0369,South,W,S29,S,738,PK741
XOA,EMD,2018/1/21,10:35:00,D,GN0202,2018/1/21,9:10:00,D,GN0631,South,W,S29,S,738,PK739
UBP,ZOU,2018/1/21,10:00:00,D,NV3280,2018/1/21,8:55:00,D,NV6623,South,W,S29,S,320,PK738
UOB,UOB,2018/1/21,10:20:00,D,NV6644,2018/1/21,8:45:00,D,NV6645,South,W,S29,S,320,PK736
IGF,TZY,2018/1/21,10:00:00,D,NV6579,2018/1/21,8:45:00,D,NV6579,South,W,S29,S,320,PK735
XOA,XOA,2018/1/21,9:45:00,D,NV6612,2018/1/21,8:40:00,D,NV6697,South,W,S29,S,73H,PK734
LIO,TIF,2018/1/21,9:50:00,D,NV6577,2018/1/21,8:40:00,D,NV6577,South,W,S29,S,320,PK733
***,DTY,2018/1/21,9:25:00,D,GN0408,2018/1/21,8:35:00,D,*****,South,W,S29,S,738,PK732
OHC,VSD,2018/1/21,9:15:00,D,NV6700,2018/1/21,8:15:00,D,NV6700,South,W,S29,S,320,PK729
UHP,CQF,2018/1/21,6:55:00,D,GN0252,2018/1/21,1:45:00,D,GN0659,South,W,S29,S,73A,PK705
EZH,XOA,2018/1/21,9:25:00,D,GN0630,2018/1/21,1:35:00,D,GN0453,South,W,S29,S,738,PK704
EZH,IAI,2018/1/21,8:15:00,D,NV6702,2018/1/21,1:30:00,D,NV6487,South,W,S29,S,319,PK703
DBO,EMD,2018/1/21,8:30:00,D,NV6734,2018/1/21,1:20:00,D,NV3653,South,W,S29,S,73E,PK702
DHP,***,2018/1/21,1:05:00,D,*****,2018/1/21,0:15:00,D,GN0679,South,W,S29,S,738,PK699
TZY,LXM,2018/1/21,15:50:00,D,GN0488,2018/1/21,0:10:00,D,GN0349,South,W,S29,S,73E,PK698
ETO,***,2018/1/22,0:45:00,D,*****,2018/1/21,23:55:00,D,GN0405,South,W,S29,S,73E,PK697
IBL,***,2018/1/22,0:30:00,D,*****,2018/1/21,23:40:00,D,GN0643,South,W,S29,S,73E,PK696
UTO,***,2018/1/22,0:20:00,D,*****,2018/1/21,23:30:00,D,NV3195,South,W,S29,S,319,PK695
TAY,***,2018/1/22,0:15:00,D,*****,2018/1/21,23:25:00,D,NV6471,South,W,S29,S,323,PK694
YJZ,***,2018/1/22,0:10:00,D,*****,2018/1/21,23:20:00,D,NV3447,South,W,S29,S,320,PK693
EZH,***,2018/1/22,0:10:00,D,*****,2018/1/21,23:20:00,D,GN0455,South,W,S29,S,73H,PK692
IBL,***,2018/1/22,0:05:00,D,*****,2018/1/21,23:15:00,D,GN0363,South,W,S29,S,73E,PK691
MIX,***,2018/1/22,0:00:00,D,*****,2018/1/21,23:10:00,D,NV3464,South,W,S29,S,325,PK690
KOH,***,2018/1/22,0:00:00,D,*****,2018/1/21,23:10:00,D,GN0285,South,W,S29,S,73A,PK689
LXF,***,2018/1/21,23:50:00,D,*****,2018/1/21,23:00:00,D,NV6557,South,W,S29,S,73E,PK688
HZT,***,2018/1/21,23:45:00,D,*****,2018/1/21,22:55:00,D,NV6615,South,W,S29,S,319,PK687
ZCQ,***,2018/1/21,23:40:00,D,*****,2018/1/21,22:50:00,D,NV6379,South,W,S29,S,319,PK686
LXM,***,2018/1/21,23:35:00,D,*****,2018/1/21,22:45:00,D,NV0747,South,W,S29,S,323,PK684
DBO,***,2018/1/21,23:20:00,D,*****,2018/1/21,22:30:00,D,GN0639,South,W,S29,S,73H,PK683
DHR,***,2018/1/21,23:20:00,D,*****,2018/1/21,22:30:00,D,GN0291,South,W,S29,S,73E,PK682
YNO,***,2018/1/21,23:15:00,D,*****,2018/1/21,22:25:00,D,GN0645,South,W,S29,S,325,PK681
CBW,***,2018/1/21,23:15:00,D,*****,2018/1/21,22:25:00,D,GN0247,South,W,S29,S,73A,PK680
ZOK,***,2018/1/21,23:05:00,D,*****,2018/1/21,22:15:00,D,NV6763,South,W,S29,S,320,PK679
IEH,***,2018/1/21,22:55:00,D,*****,2018/1/21,22:05:00,D,NV6769,South,W,S29,S,320,PK677
LXM,***,2018/1/21,22:55:00,D,*****,2018/1/21,22:05:00,D,GN0489,South,W,S29,S,73E,PK676
DHP,***,2018/1/21,22:50:00,D,*****,2018/1/21,22:00:00,D,NV6405,South,W,S29,S,320,PK675
IOZ,***,2018/1/21,22:50:00,D,*****,2018/1/21,22:00:00,D,GN0541,South,W,S29,S,738,PK674
ZDV,***,2018/1/21,22:50:00,D,*****,2018/1/21,22:00:00,D,GN0257,South,W,S29,S,73H,PK673
MAI,***,2018/1/21,22:40:00,D,*****,2018/1/21,21:50:00,D,NV6319,South,W,S29,S,73E,PK672
YJZ,***,2018/1/21,22:40:00,D,*****,2018/1/21,21:50:00,D,NV3270,South,W,S29,S,325,PK671
EMD,OLH,2018/1/21,22:50:00,D,NV3993,2018/1/21,21:45:00,D,NV6737,South,W,S29,S,320,PK670
QFL,***,2018/1/21,22:30:00,D,*****,2018/1/21,21:40:00,D,NV6241,South,W,S29,S,325,PK669
GPD,***,2018/1/21,22:10:00,D,*****,2018/1/21,21:20:00,D,NV6699,South,W,S29,S,321,PK666
UOB,UOB,2018/1/21,22:30:00,D,NV6652,2018/1/21,21:20:00,D,NV6653,South,W,S29,S,320,PK665
XOA,XOA,2018/1/21,22:20:00,D,GN0620,2018/1/21,21:20:00,D,GN0629,South,W,S29,S,738,PK664
DTY,YNO,2018/1/21,22:40:00,D,GN0368,2018/1/21,21:15:00,D,GN0409,South,W,S29,S,738,PK662
TIF,LIO,2018/1/21,22:20:00,D,NV6642,2018/1/21,21:05:00,D,NV6642,South,W,S29,S,320,PK660
VSD,OHC,2018/1/21,22:20:00,D,NV6811,2018/1/21,21:00:00,D,NV6811,South,W,S29,S,320,PK658
UBP,UBP,2018/1/21,22:10:00,D,NV6632,2018/1/21,21:00:00,D,NV6633,South,W,S29,S,320,PK657
AZJ,***,2018/1/21,21:50:00,D,*****,2018/1/21,21:00:00,D,NV6495,South,W,S29,S,320,PK656
ZOU,***,2018/1/21,21:35:00,D,*****,2018/1/21,20:45:00,D,NV6375,South,W,S29,S,323,PK655
***,DTY,2018/1/21,21:30:00,D,NV6478,2018/1/21,20:40:00,D,*****,South,W,S29,S,319,PK654
GPD,EMD,2018/1/21,22:05:00,D,NV6772,2018/1/21,20:30:00,D,NV6772,South,W,S29,S,325,PK653
TZY,***,2018/1/21,21:20:00,D,*****,2018/1/21,20:30:00,D,NV6578,South,W,S29,S,325,PK652
YJZ,***,2018/1/21,21:15:00,D,*****,2018/1/21,20:25:00,D,NV3278,South,W,S29,S,325,PK650
OBP,***,2018/1/21,21:10:00,D,*****,2018/1/21,20:20:00,D,NV6549,South,W,S29,S,319,PK648
ISC,***,2018/1/21,21:05:00,D,*****,2018/1/21,20:15:00,D,NV6725,South,W,S29,S,320,PK647
UTO,DUV,2018/1/21,21:30:00,D,NV6528,2018/1/21,20:15:00,D,NV6551,South,W,S29,S,320,PK646
ITO,***,2018/1/21,21:00:00,D,*****,2018/1/21,20:10:00,D,NV6317,South,W,S29,S,319,PK645
YNO,DHR,2018/1/21,21:05:00,D,GN0260,2018/1/21,20:10:00,D,GN0261,South,W,S29,S,73H,PK643
TIF,LXF,2018/1/21,21:35:00,D,GN0560,2018/1/21,20:05:00,D,GN0205,South,W,S29,S,73A,PK641
DUV,***,2018/1/21,20:50:00,D,*****,2018/1/21,20:00:00,D,NV6527,South,W,S29,S,320,PK639
UZO,UZO,2018/1/21,21:00:00,D,NV6325,2018/1/21,20:00:00,D,NV6324,South,W,S29,S,73H,PK638
XVI,***,2018/1/21,20:35:00,D,*****,2018/1/21,19:45:00,D,NV3622,South,W,S29,S,319,PK635
AIB,TIF,2018/1/21,21:25:00,D,NV6714,2018/1/21,19:15:00,D,NV6714,South,W,S29,S,320,PK628
XOA,DBO,2018/1/21,21:20:00,D,GN0428,2018/1/21,19:10:00,D,GN0641,South,W,S29,S,738,PK626
DHR,LXM,2018/1/21,21:10:00,D,GN0287,2018/1/21,18:55:00,D,GN0287,South,W,S29,S,738,PK623
XFI,UTO,2018/1/21,21:45:00,D,GN0170,2018/1/21,18:50:00,D,GN0465,South,W,S29,S,738,PK620
IAI,EZH,2018/1/21,20:00:00,D,NV6486,2018/1/21,18:40:00,D,NV6703,South,W,S29,S,319,PK618
DUV,IBL,2018/1/21,21:00:00,D,NV6312,2018/1/21,18:30:00,D,NV6525,South,W,S29,S,325,PK615
YOO,YOO,2018/1/21,19:35:00,D,NV3410,2018/1/21,18:30:00,D,NV3421,South,W,S29,S,319,PK614
MMW,IGF,2018/1/21,21:35:00,D,NV6578,2018/1/21,18:20:00,D,NV6253,South,W,S29,S,320,PK611
TZY,DLH,2018/1/21,21:05:00,D,NV6544,2018/1/21,18:00:00,D,NV6489,South,W,S29,S,320,PK607
ZJI,XVI,2018/1/21,19:30:00,D,NV3631,2018/1/21,18:00:00,D,NV3786,South,W,S29,S,73E,PK605
AVI,***,2018/1/21,18:30:00,D,*****,2018/1/21,17:40:00,D,NV6301,South,W,S29,S,325,PK603
BPH,OOH,2018/1/21,21:00:00,D,GN0494,2018/1/21,17:35:00,D,GN0209,South,W,S29,S,73A,PK602
TIF,EZH,2018/1/21,20:05:00,D,GN0452,2018/1/21,17:20:00,D,GN0299,South,W,S29,S,738,PK598
***,MIX,2018/1/21,17:50:00,D,GN0332,2018/1/21,17:00:00,D,*****,South,W,S29,S,738,PK595
XOA,XOA,2018/1/21,17:55:00,D,GN0636,2018/1/21,16:50:00,D,GN0637,South,W,S29,S,738,PK592
YJZ,YJZ,2018/1/21,18:05:00,D,NV3277,2018/1/21,16:15:00,D,NV3260,South,W,S29,S,320,PK583
TIF,IJB,2018/1/21,17:40:00,D,NV6710,2018/1/21,16:05:00,D,NV6715,South,W,S29,S,320,PK582
CBW,ETO,2018/1/21,17:30:00,D,GN0404,2018/1/21,15:55:00,D,GN0549,South,W,S29,S,73E,PK578
OOH,YNO,2018/1/21,17:05:00,D,GN0644,2018/1/21,15:35:00,D,GN0497,South,W,S29,S,325,PK571
TAY,LXM,2018/1/21,16:45:00,D,NV0746,2018/1/21,15:25:00,D,NV6453,South,W,S29,S,323,PK569
