,Unnamed: 0,Unnamed: 0.1,上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录号,精确到达时间,精确出发时间
366,366,366,CQF,TIF,2018/1/20,13:35:00,D,GN0204,2018/1/20,12:25:00,D,GN0253,South,W,T23,T,73A,PK277,2018/1/20 12:25:00,2018/1/20 13:35:00
367,367,367,IEH,MZJ,2018/1/20,13:25:00,D,NV6510,2018/1/20,12:20:00,D,NV6749,South,W,T23,T,320,PK276,2018/1/20 12:20:00,2018/1/20 13:25:00
368,368,368,DLH,***,2018/1/20,12:10:00,D,*****,2018/1/20,11:20:00,D,NV6535,South,W,T23,T,320,PK273,2018/1/20 11:20:00,2018/1/20 12:10:00
369,369,369,DUV,DUV,2018/1/20,18:05:00,D,NV6308,2018/1/20,11:05:00,D,NV6307,South,W,T23,T,320,PK272,2018/1/20 11:05:00,2018/1/20 18:05:00
370,370,370,DHR,SJA,2018/1/20,12:00:00,D,GN0236,2018/1/20,10:40:00,D,GN0271,South,W,T23,T,73H,PK267,2018/1/20 10:40:00,2018/1/20 12:00:00
371,371,371,TIF,AIB,2018/1/20,12:25:00,D,NV6713,2018/1/20,10:35:00,D,NV6713,South,W,T23,T,320,PK266,2018/1/20 10:35:00,2018/1/20 12:25:00
372,372,372,DHP,MGR,2018/1/20,13:05:00,D,GN0446,2018/1/20,10:30:00,D,GN0457,South,W,T23,T,738,PK264,2018/1/20 10:30:00,2018/1/20 13:05:00
373,373,373,OOH,AIB,2018/1/20,11:20:00,D,GN0460,2018/1/20,10:20:00,D,GN0495,South,W,T23,T,73A,PK259,2018/1/20 10:20:00,2018/1/20 11:20:00
374,374,374,TAY,TZY,2018/1/20,13:05:00,D,NV6488,2018/1/20,10:10:00,D,NV6443,South,W,T23,T,325,PK256,2018/1/20 10:10:00,2018/1/20 13:05:00
375,375,375,DUV,DUV,2018/1/20,12:30:00,D,NV305,2018/1/20,10:05:00,D,NV6513,South,W,T23,T,320,PK254,2018/1/20 10:05:00,2018/1/20 12:30:00
376,376,376,ETO,CBW,2018/1/20,9:25:00,D,GN0548,2018/1/19,23:55:00,D,GN0405,South,W,T23,T,73E,PK197,2018/1/19 23:55:00,2018/1/20 9:25:00
377,377,377,IBL,EMD,2018/1/20,14:10:00,D,NV6722,2018/1/19,23:40:00,D,GN0643,South,W,T23,T,323,PK196,2018/1/19 23:40:00,2018/1/20 14:10:00
378,378,378,UTO,DUV,2018/1/20,9:05:00,D,NV6514,2018/1/19,23:30:00,D,NV3195,South,W,T23,T,319,PK195,2018/1/19 23:30:00,2018/1/20 9:05:00
379,379,379,TAY,ZOU,2018/1/20,11:10:00,D,NV6656,2018/1/19,23:25:00,D,NV6471,South,W,T23,T,323,PK194,2018/1/19 23:25:00,2018/1/20 11:10:00
380,380,380,YJZ,DLH,2018/1/20,9:20:00,D,NV6504,2018/1/19,23:20:00,D,NV3447,South,W,T23,T,319,PK193,2018/1/19 23:20:00,2018/1/20 9:20:00
381,381,381,EZH,UWT,2018/1/20,7:35:00,D,GN0234,2018/1/19,23:20:00,D,GN0455,South,W,T23,T,73H,PK192,2018/1/19 23:20:00,2018/1/20 7:35:00
382,382,382,IBL,DBO,2018/1/20,9:00:00,D,GN0414,2018/1/19,23:15:00,D,GN0363,South,W,T23,T,73E,PK191,2018/1/19 23:15:00,2018/1/20 9:00:00
383,383,383,LXF,ARA,2018/1/20,6:55:00,D,NV3286,2018/1/19,23:00:00,D,NV6557,South,W,T23,T,73E,PK188,2018/1/19 23:00:00,2018/1/20 6:55:00
384,384,384,HZT,OBP,2018/1/20,8:25:00,D,NV6548,2018/1/19,22:55:00,D,NV6615,South,W,T23,T,319,PK187,2018/1/19 22:55:00,2018/1/20 8:25:00
385,385,385,LXM,TAY,2018/1/20,9:05:00,D,NV6446,2018/1/19,22:45:00,D,NV0747,South,W,T23,T,323,PK184,2018/1/19 22:45:00,2018/1/20 9:05:00
386,386,386,DHR,NJH,2018/1/20,8:00:00,D,GN0522,2018/1/19,22:30:00,D,GN0291,South,W,T23,T,73E,PK182,2018/1/19 22:30:00,2018/1/20 8:00:00
387,387,387,YNO,TIF,2018/1/20,8:55:00,D,GN0478,2018/1/19,22:25:00,D,GN0645,South,W,T23,T,325,PK181,2018/1/19 22:25:00,2018/1/20 8:55:00
388,388,388,CBW,CQF,2018/1/20,6:55:00,D,GN0252,2018/1/19,22:25:00,D,GN0247,South,W,T23,T,73A,PK180,2018/1/19 22:25:00,2018/1/20 6:55:00
389,389,389,ZOK,IEH,2018/1/20,6:40:00,D,NV6748,2018/1/19,22:15:00,D,NV6763,South,W,T23,T,320,PK179,2018/1/19 22:15:00,2018/1/20 6:40:00
390,390,390,LXM,ISC,2018/1/20,7:30:00,D,GN0282,2018/1/19,22:05:00,D,GN0489,South,W,T23,T,73E,PK175,2018/1/19 22:05:00,2018/1/20 7:30:00
391,391,391,DHP,ZOU,2018/1/20,9:55:00,D,NV3280,2018/1/19,22:00:00,D,NV6405,South,W,T23,T,320,PK174,2018/1/19 22:00:00,2018/1/20 9:55:00
392,392,392,IOZ,LXM,2018/1/20,6:40:00,D,GN0480,2018/1/19,22:00:00,D,GN0541,South,W,T23,T,738,PK173,2018/1/19 22:00:00,2018/1/20 6:40:00
393,393,393,MAI,EMD,2018/1/20,8:30:00,D,NV6734,2018/1/19,21:50:00,D,NV6319,South,W,T23,T,73E,PK171,2018/1/19 21:50:00,2018/1/20 8:30:00
394,394,394,YJZ,YJZ,2018/1/20,8:05:00,D,NV3263,2018/1/19,21:50:00,D,NV3270,South,W,T23,T,321,PK170,2018/1/19 21:50:00,2018/1/20 8:05:00
395,395,395,QFL,CIZ,2018/1/20,9:25:00,D,NV6376,2018/1/19,21:40:00,D,NV6241,South,W,T23,T,325,PK168,2018/1/19 21:40:00,2018/1/20 9:25:00
396,396,396,ZOU,QFL,2018/1/20,9:00:00,D,NV6230,2018/1/19,20:45:00,D,NV6375,South,W,T23,T,323,PK155,2018/1/19 20:45:00,2018/1/20 9:00:00
397,397,397,YJZ,YJZ,2018/1/20,6:40:00,D,NV3446,2018/1/19,20:25:00,D,NV3278,South,W,T23,T,325,PK150,2018/1/19 20:25:00,2018/1/20 6:40:00
398,398,398,ISC,ISC,2018/1/20,8:20:00,D,NV6724,2018/1/19,20:15:00,D,NV6725,South,W,T23,T,320,PK147,2018/1/19 20:15:00,2018/1/20 8:20:00
399,399,399,ITO,UTO,2018/1/20,13:55:00,D,NV6540,2018/1/19,20:10:00,D,NV6317,South,W,T23,T,319,PK145,2018/1/19 20:10:00,2018/1/20 13:55:00
400,400,400,EMD,EBU,2018/1/20,8:15:00,D,NV6358,2018/1/19,19:50:00,D,NV6753,South,W,T23,T,319,PK136,2018/1/19 19:50:00,2018/1/20 8:15:00
401,401,401,EMD,EMD,2018/1/20,7:45:00,D,NV6738,2018/1/19,18:35:00,D,NV6779,South,W,T23,T,320,PK117,2018/1/19 18:35:00,2018/1/20 7:45:00
402,402,402,BPH,UHP,2018/1/20,13:50:00,D,GN0658,2018/1/19,17:35:00,D,GN0209,South,W,T23,T,73A,PK102,2018/1/19 17:35:00,2018/1/20 13:50:00
403,403,403,OOH,YNO,2018/1/20,17:05:00,D,GN0644,2018/1/19,15:35:00,D,GN0497,South,W,T23,T,73L,PK072,2018/1/19 15:35:00,2018/1/20 17:05:00
404,404,404,NJH,ZDV,2018/1/20,16:20:00,D,GN0256,2018/1/19,14:55:00,D,GN0523,South,W,T23,T,73E,PK062,2018/1/19 14:55:00,2018/1/20 16:20:00
405,405,405,LXF,CLL,2018/1/20,14:15:00,I,GN966,2018/1/20,9:40:00,D,GN0571,South,W,T23,T,73H,PK492,2018/1/20 9:40:00,2018/1/20 14:15:00
406,406,406,XVI,GVL,2018/1/20,10:35:00,I,NV628,2018/1/20,9:15:00,D,NV628,South,W,T23,T,73H,PK485,2018/1/20 9:15:00,2018/1/20 10:35:00
407,407,407,XVI,LJY,2018/1/20,10:00:00,I,NV626,2018/1/20,8:55:00,D,NV3620,South,W,T23,T,73E,PK481,2018/1/20 8:55:00,2018/1/20 10:00:00
408,408,408,OLH,OHP,2018/1/20,9:30:00,I,NV630,2018/1/20,8:25:00,D,NV3992,South,W,T23,T,320,PK474,2018/1/20 8:25:00,2018/1/20 9:30:00
409,409,409,LIO,THO,2018/1/20,22:00:00,I,NV392,2018/1/20,21:10:00,D,NV6643,South,W,T23,T,320,PK402,2018/1/20 21:10:00,2018/1/20 22:00:00
410,410,410,EMD,ILH,2018/1/20,21:10:00,I,NV836,2018/1/20,19:50:00,D,NV6753,South,W,T23,T,319,PK378,2018/1/20 19:50:00,2018/1/20 21:10:00
411,411,411,MZJ,QOI,2018/1/20,20:00:00,I,NV860,2018/1/20,18:55:00,D,NV6663,South,W,T23,T,320,PK365,2018/1/20 18:55:00,2018/1/20 20:00:00
412,412,412,LXM,LVM,2018/1/20,19:30:00,I,GN972,2018/1/20,18:10:00,D,GN0461,South,W,T23,T,73H,PK350,2018/1/20 18:10:00,2018/1/20 19:30:00
413,413,413,TIF,LCW,2018/1/20,18:20:00,I,GN976,2018/1/20,17:20:00,D,GN0299,South,W,T23,T,738,PK341,2018/1/20 17:20:00,2018/1/20 18:20:00
414,414,414,INJ,GVL,2018/1/20,18:10:00,I,NV642,2018/1/20,16:55:00,D,NV6717,South,W,T23,T,320,PK337,2018/1/20 16:55:00,2018/1/20 18:10:00
415,415,415,DUV,IJK,2018/1/20,17:40:00,I,NV304,2018/1/20,16:35:00,D,NV304,South,W,T23,T,319,PK332,2018/1/20 16:35:00,2018/1/20 17:40:00
416,416,416,XVI,OHP,2018/1/20,18:00:00,I,NV3702,2018/1/20,16:30:00,D,NV3702,South,W,T23,T,73H,PK330,2018/1/20 16:30:00,2018/1/20 18:00:00
417,417,417,CIZ,ILH,2018/1/20,18:30:00,I,NV834,2018/1/20,16:20:00,D,NV6377,South,W,T23,T,325,PK327,2018/1/20 16:20:00,2018/1/20 18:30:00
418,418,418,YJZ,OHP,2018/1/20,17:15:00,I,NV302,2018/1/20,15:45:00,D,NV302,South,W,T23,T,320,PK319,2018/1/20 15:45:00,2018/1/20 17:15:00
419,419,419,QFL,OSU,2018/1/20,16:55:00,I,NV382,2018/1/20,15:20:00,D,NV382,South,W,T23,T,321,PK313,2018/1/20 15:20:00,2018/1/20 16:55:00
420,420,420,GPD,IOE,2018/1/20,17:10:00,I,NV686,2018/1/20,14:45:00,D,NV6711,South,W,T23,T,325,PK301,2018/1/20 14:45:00,2018/1/20 17:10:00
421,421,421,DHP,LJY,2018/1/20,14:55:00,I,GN932,2018/1/20,13:50:00,D,GN932,South,W,T23,T,738,PK289,2018/1/20 13:50:00,2018/1/20 14:55:00
422,422,422,EMD,GVL,2018/1/20,14:30:00,I,NV6198,2018/1/20,13:25:00,D,NV6735,South,W,T23,T,73E,PK286,2018/1/20 13:25:00,2018/1/20 14:30:00
423,423,423,KOA,QVT,2018/1/20,14:05:00,I,GN930,2018/1/20,13:00:00,D,GN0201,South,W,T23,T,73H,PK281,2018/1/20 13:00:00,2018/1/20 14:05:00
424,424,424,EMD,PLB,2018/1/20,13:10:00,I,NV398,2018/1/20,11:00:00,D,NV6785,South,W,T23,T,320,PK271,2018/1/20 11:00:00,2018/1/20 13:10:00
425,425,425,LNH,LJY,2018/1/20,12:15:00,I,NV858,2018/1/20,10:30:00,D,NV858,South,W,T23,T,73H,PK265,2018/1/20 10:30:00,2018/1/20 12:15:00
426,426,426,MIX,OHP,2018/1/20,11:35:00,I,NV820,2018/1/20,10:25:00,D,NV820,South,W,T23,T,320,PK263,2018/1/20 10:25:00,2018/1/20 11:35:00
427,427,427,ISC,ILH,2018/1/20,11:25:00,I,NV618,2018/1/20,10:25:00,D,NV6731,South,W,T23,T,325,PK262,2018/1/20 10:25:00,2018/1/20 11:25:00
428,428,428,YJZ,OSU,2018/1/20,11:45:00,I,NV632,2018/1/20,10:15:00,D,NV632,South,W,T23,T,325,PK258,2018/1/20 10:15:00,2018/1/20 11:45:00
429,429,429,XVI,GTA,2018/1/20,11:15:00,I,NV3120,2018/1/20,10:15:00,D,NV3120,South,W,T23,T,73H,PK257,2018/1/20 10:15:00,2018/1/20 11:15:00
430,430,430,TXB,CLL,2018/1/20,12:00:00,I,GN944,2018/1/20,10:10:00,D,GN0411,South,W,T23,T,73H,PK255,2018/1/20 10:10:00,2018/1/20 12:00:00
431,431,431,QFL,NGN,2018/1/20,12:40:00,I,NV3118,2018/1/20,10:00:00,D,NV6294,South,W,T23,T,321,PK253,2018/1/20 10:00:00,2018/1/20 12:40:00
432,432,432,MIX,DKV,2018/1/20,10:15:00,I,NV6160,2018/1/19,23:10:00,D,NV3464,South,W,T23,T,325,PK190,2018/1/19 23:10:00,2018/1/20 10:15:00
433,433,433,KOH,UPZ,2018/1/20,9:25:00,I,GN936,2018/1/19,23:10:00,D,GN0285,South,W,T23,T,73A,PK189,2018/1/19 23:10:00,2018/1/20 9:25:00
434,434,434,ZCQ,LPK,2018/1/20,9:50:00,I,NV872,2018/1/19,22:50:00,D,NV6379,South,W,T23,T,319,PK186,2018/1/19 22:50:00,2018/1/20 9:50:00
435,435,435,DBO,UTB,2018/1/20,9:10:00,I,GN912,2018/1/19,22:30:00,D,GN0639,South,W,T23,T,73H,PK183,2018/1/19 22:30:00,2018/1/20 9:10:00
436,436,436,IEH,ILH,2018/1/20,8:35:00,I,NV612,2018/1/19,22:05:00,D,NV6769,South,W,T23,T,320,PK177,2018/1/19 22:05:00,2018/1/20 8:35:00
437,437,437,GPD,LJY,2018/1/20,8:55:00,I,NV336,2018/1/19,21:20:00,D,NV6699,South,W,T23,T,320,PK165,2018/1/19 21:20:00,2018/1/20 8:55:00
438,438,438,AZJ,QVT,2018/1/20,8:00:00,I,NV6154,2018/1/19,21:00:00,D,NV6495,South,W,T23,T,320,PK156,2018/1/19 21:00:00,2018/1/20 8:00:00
439,439,439,OBP,LJK,2018/1/20,9:30:00,I,NV306,2018/1/19,20:20:00,D,NV6549,South,W,T23,T,319,PK148,2018/1/19 20:20:00,2018/1/20 9:30:00
440,440,440,SJA,UTB,2018/1/20,10:40:00,I,GN920,2018/1/19,20:10:00,D,GN0237,South,W,T23,T,73H,PK142,2018/1/19 20:10:00,2018/1/20 10:40:00
441,441,441,MMW,DOY,2018/1/20,10:10:00,I,NV316,2018/1/19,18:20:00,D,NV6253,South,W,T23,T,320,PK112,2018/1/19 18:20:00,2018/1/20 10:10:00
442,442,442,ILH,UTO,2018/1/20,13:00:00,D,NV3194,2018/1/20,9:50:00,I,NV837,South,W,T23,T,319,PK499,2018/1/20 9:50:00,2018/1/20 13:00:00
443,443,443,JDO,AVI,2018/1/20,11:25:00,D,NV6390,2018/1/20,9:45:00,I,NV6163,South,W,T23,T,325,PK495,2018/1/20 9:45:00,2018/1/20 11:25:00
444,444,444,THO,LIO,2018/1/20,9:30:00,D,NV6576,2018/1/20,7:05:00,I,NV393,South,W,T23,T,320,PK472,2018/1/20 7:05:00,2018/1/20 9:30:00
445,445,445,ILU,LXM,2018/1/20,12:00:00,D,GN0492,2018/1/20,7:15:00,I,GN969,South,W,T23,T,73H,PK469,2018/1/20 7:15:00,2018/1/20 12:00:00
446,446,446,DSL,ZOK,2018/1/20,8:30:00,D,NV6762,2018/1/20,7:00:00,I,NV6157,South,W,T23,T,320,PK467,2018/1/20 7:00:00,2018/1/20 8:30:00
447,447,447,LCW,XOA,2018/1/20,10:25:00,D,GN0628,2018/1/20,6:00:00,I,GN977,South,W,T23,T,738,PK462,2018/1/20 6:00:00,2018/1/20 10:25:00
448,448,448,CLJ,KOA,2018/1/20,7:10:00,D,GN0290,2018/1/20,5:55:00,I,GN979,South,W,T23,T,73H,PK459,2018/1/20 5:55:00,2018/1/20 7:10:00
449,449,449,IOE,XFI,2018/1/20,10:15:00,D,GN0464,2018/1/20,4:40:00,I,GN947,South,W,T23,T,738,PK451,2018/1/20 4:40:00,2018/1/20 10:15:00
450,450,450,CLL,DHP,2018/1/20,8:50:00,D,GN0456,2018/1/20,0:20:00,I,GN967,South,W,T23,T,738,PK444,2018/1/20 0:20:00,2018/1/20 8:50:00
451,451,451,JDO,TXB,2018/1/20,21:05:00,D,GN0300,2018/1/20,20:00:00,I,GN939,South,W,T23,T,73H,PK379,2018/1/20 20:00:00,2018/1/20 21:05:00
452,452,452,OSU,YJZ,2018/1/20,21:05:00,D,NV633,2018/1/20,19:35:00,I,NV633,South,W,T23,T,325,PK375,2018/1/20 19:35:00,2018/1/20 21:05:00
453,453,453,GVL,XVI,2018/1/20,21:30:00,D,NV3655,2018/1/20,19:30:00,I,NV6199,South,W,T23,T,73E,PK372,2018/1/20 19:30:00,2018/1/20 21:30:00
454,454,454,NGN,QFL,2018/1/20,21:15:00,D,NV6297,2018/1/20,19:15:00,I,NV3119,South,W,T23,T,321,PK368,2018/1/20 19:15:00,2018/1/20 21:15:00
455,455,455,LJY,LNH,2018/1/20,21:00:00,D,NV859,2018/1/20,18:55:00,I,NV859,South,W,T23,T,73H,PK366,2018/1/20 18:55:00,2018/1/20 21:00:00
456,456,456,PLB,EMD,2018/1/20,19:50:00,D,NV6784,2018/1/20,18:45:00,I,NV399,South,W,T23,T,320,PK359,2018/1/20 18:45:00,2018/1/20 19:50:00
457,457,457,ILH,IBL,2018/1/20,21:00:00,D,NV6312,2018/1/20,18:25:00,I,NV615,South,W,T23,T,325,PK354,2018/1/20 18:25:00,2018/1/20 21:00:00
458,458,458,OHP,MIX,2018/1/20,19:35:00,D,NV831,2018/1/20,18:20:00,I,NV831,South,W,T23,T,320,PK353,2018/1/20 18:20:00,2018/1/20 19:35:00
459,459,459,GTA,XVI,2018/1/20,19:45:00,D,NV3131,2018/1/20,18:15:00,I,NV3131,South,W,T23,T,73H,PK351,2018/1/20 18:15:00,2018/1/20 19:45:00
460,460,460,PLB,ZLI,2018/1/20,17:35:00,D,NV6726,2018/1/20,16:30:00,I,NV3197,South,W,T23,T,320,PK329,2018/1/20 16:30:00,2018/1/20 17:35:00
461,461,461,LJY,ZJI,2018/1/20,19:15:00,D,NV3787,2018/1/20,15:55:00,I,NV627,South,W,T23,T,73E,PK322,2018/1/20 15:55:00,2018/1/20 19:15:00
462,462,462,UPZ,CBW,2018/1/20,17:00:00,D,GN0246,2018/1/20,15:55:00,I,GN937,South,W,T23,T,73A,PK321,2018/1/20 15:55:00,2018/1/20 17:00:00
463,463,463,OHP,EMD,2018/1/20,16:40:00,D,NV6736,2018/1/20,15:35:00,I,NV641,South,W,T23,T,320,PK317,2018/1/20 15:35:00,2018/1/20 16:40:00
464,464,464,GVL,XVI,2018/1/20,16:50:00,D,NV629,2018/1/20,15:15:00,I,NV629,South,W,T23,T,73H,PK311,2018/1/20 15:15:00,2018/1/20 16:50:00
465,465,465,LPK,ZCQ,2018/1/20,15:40:00,D,NV6378,2018/1/20,14:25:00,I,NV873,South,W,T23,T,319,PK296,2018/1/20 14:25:00,2018/1/20 15:40:00
466,466,466,DKV,GPD,2018/1/20,16:15:00,D,NV6742,2018/1/20,14:25:00,I,NV6171,South,W,T23,T,325,PK295,2018/1/20 14:25:00,2018/1/20 16:15:00
467,467,467,OSU,QFL,2018/1/20,15:30:00,D,NV383,2018/1/20,13:50:00,I,NV383,South,W,T23,T,321,PK290,2018/1/20 13:50:00,2018/1/20 15:30:00
468,468,468,QVT,AZJ,2018/1/20,14:25:00,D,NV6494,2018/1/20,13:20:00,I,NV6155,South,W,T23,T,320,PK285,2018/1/20 13:20:00,2018/1/20 14:25:00
469,469,469,OHP,XVI,2018/1/20,13:55:00,D,NV3703,2018/1/20,12:25:00,I,NV3703,South,W,T23,T,73H,PK278,2018/1/20 12:25:00,2018/1/20 13:55:00
470,470,470,IJK,ITO,2018/1/20,12:15:00,D,NV6316,2018/1/20,11:00:00,I,NV305,South,W,T23,T,319,PK270,2018/1/20 11:00:00,2018/1/20 12:15:00
471,471,471,GVL,EMD,2018/1/20,12:05:00,D,NV6732,2018/1/20,10:45:00,I,NV643,South,W,T23,T,320,PK269,2018/1/20 10:45:00,2018/1/20 12:05:00
472,472,472,OHP,YJZ,2018/1/20,12:30:00,D,NV303,2018/1/20,10:40:00,I,NV303,South,W,T23,T,320,PK268,2018/1/20 10:40:00,2018/1/20 12:30:00
473,473,473,ILH,GPD,2018/1/20,8:55:00,D,NV6616,2018/1/19,22:50:00,I,NV617,South,W,T23,T,321,PK185,2018/1/19 22:50:00,2018/1/20 8:55:00
474,474,474,CLL,ZJI,2018/1/20,9:40:00,D,GN0476,2018/1/19,22:10:00,I,GN945,South,W,T23,T,73H,PK178,2018/1/19 22:10:00,2018/1/20 9:40:00
475,475,475,DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,South,W,T23,T,320,PK475,2018/1/20 8:35:00,2018/1/20 10:20:00
476,476,476,LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,South,W,T23,T,73H,PK470,2018/1/20 7:20:00,2018/1/20 8:35:00
477,477,477,ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,South,W,T23,T,73H,PK465,2018/1/20 6:30:00,2018/1/20 9:20:00
478,478,478,QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,South,W,T23,T,325,PK455,2018/1/20 5:20:00,2018/1/20 9:25:00
479,479,479,SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,South,W,T23,T,325,PK450,2018/1/20 4:25:00,2018/1/20 9:15:00
480,480,480,LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,South,W,T23,T,73H,PK409,2018/1/20 21:30:00,2018/1/20 22:30:00
481,481,481,LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,South,W,T23,T,320,PK371,2018/1/20 19:20:00,2018/1/20 23:10:00
482,482,482,CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,South,W,T23,T,73H,PK361,2018/1/20 18:50:00,2018/1/20 20:00:00
483,483,483,QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,South,W,T23,T,73H,PK358,2018/1/20 18:40:00,2018/1/20 19:45:00
484,484,484,ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,South,W,T23,T,325,PK344,2018/1/20 17:30:00,2018/1/20 18:40:00
485,485,485,LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,South,W,T23,T,319,PK334,2018/1/20 16:40:00,2018/1/20 17:35:00
486,486,486,ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,South,W,T23,T,325,PK324,2018/1/20 15:55:00,2018/1/20 17:30:00
487,487,487,CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,South,W,T23,T,73H,PK318,2018/1/20 15:40:00,2018/1/20 18:30:00
488,488,488,UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,South,W,T23,T,73H,PK314,2018/1/20 15:25:00,2018/1/20 17:00:00
489,489,489,ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,South,W,T23,T,320,PK303,2018/1/20 14:50:00,2018/1/20 16:15:00
490,490,490,CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,South,W,T23,T,73H,PK302,2018/1/20 14:50:00,2018/1/20 19:30:00
491,491,491,JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,South,W,T23,T,325,PK292,2018/1/20 14:00:00,2018/1/20 15:45:00
492,492,492,UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,South,W,T23,T,73H,PK287,2018/1/20 13:40:00,2018/1/20 14:45:00
493,493,493,ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,South,W,T23,T,325,PK275,2018/1/20 12:00:00,2018/1/20 18:10:00
494,494,494,LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,South,W,T23,T,325,PK274,2018/1/20 11:25:00,2018/1/20 13:15:00
495,495,495,IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,South,W,T23,T,325,PK261,2018/1/20 10:20:00,2018/1/20 12:15:00
496,496,496,NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,South,W,T23,T,325,PK260,2018/1/20 10:20:00,2018/1/20 12:15:00
497,497,497,DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,South,W,T23,T,320,PK149,2018/1/19 20:25:00,2018/1/20 0:15:00
498,498,498,ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,South,W,T23,T,325,PK144,2018/1/19 20:10:00,2018/1/20 1:50:00
499,499,499,IBL,DUV,2018/1/20,11:00:00,D,NV6518,2018/1/20,9:55:00,D,NV6313,South,W,T24,T,325,PK501,2018/1/20 9:55:00,2018/1/20 11:00:00
500,500,500,AIB,BPH,2018/1/20,11:30:00,D,GN0208,2018/1/20,9:55:00,D,GN0471,South,W,T24,T,73A,PK500,2018/1/20 9:55:00,2018/1/20 11:30:00
501,501,501,DTY,EMD,2018/1/20,11:05:00,D,NV6752,2018/1/20,9:50:00,D,NV6479,South,W,T24,T,319,PK498,2018/1/20 9:50:00,2018/1/20 11:05:00
502,502,502,DBO,IOZ,2018/1/20,11:10:00,D,GN0530,2018/1/20,9:50:00,D,GN0413,South,W,T24,T,738,PK497,2018/1/20 9:50:00,2018/1/20 11:10:00
503,503,503,UTO,TIF,2018/1/20,11:05:00,D,GN0298,2018/1/20,9:50:00,D,GN0181,South,W,T24,T,738,PK496,2018/1/20 9:50:00,2018/1/20 11:05:00
504,504,504,LXM,DHR,2018/1/20,10:50:00,D,GN0493,2018/1/20,9:45:00,D,GN0493,South,W,T24,T,738,PK494,2018/1/20 9:45:00,2018/1/20 10:50:00
505,505,505,DLH,DLH,2018/1/20,11:05:00,D,NV6536,2018/1/20,9:40:00,D,NV6533,South,W,T24,T,320,PK493,2018/1/20 9:40:00,2018/1/20 11:05:00
506,506,506,ZOU,UBP,2018/1/20,11:15:00,D,NV6622,2018/1/20,9:35:00,D,NV6655,South,W,T24,T,320,PK491,2018/1/20 9:35:00,2018/1/20 11:15:00
507,507,507,UZO,UZO,2018/1/20,10:45:00,D,NV3512,2018/1/20,9:35:00,D,NV3513,South,W,T24,T,73H,PK490,2018/1/20 9:35:00,2018/1/20 10:45:00
508,508,508,DHP,KOH,2018/1/20,11:00:00,D,GN0284,2018/1/20,9:30:00,D,GN0439,South,W,T24,T,738,PK489,2018/1/20 9:30:00,2018/1/20 11:00:00
509,509,509,EMD,GPD,2018/1/20,10:40:00,D,NV6773,2018/1/20,9:25:00,D,NV6773,South,W,T24,T,325,PK488,2018/1/20 9:25:00,2018/1/20 10:40:00
510,510,510,YNO,EMD,2018/1/20,10:35:00,D,GN0202,2018/1/20,9:20:00,D,GN0369,South,W,T24,T,738,PK486,2018/1/20 9:20:00,2018/1/20 10:35:00
511,511,511,XOA,***,2018/1/20,10:00:00,D,*****,2018/1/20,9:10:00,D,GN0631,South,W,T24,T,738,PK484,2018/1/20 9:10:00,2018/1/20 10:00:00
